Date,Open,High,Low,Close,Adj Close,Volume
2023-05-15,702.650024,710.599976,697.000000,705.500000,702.540649,32656
2023-05-16,705.849976,710.599976,700.799988,702.349976,699.403870,14965
2023-05-17,702.000000,702.000000,691.900024,695.500000,692.582581,35533
2023-05-18,null,null,null,null,null,null
2023-05-19,692.250000,696.900024,681.299988,693.049988,690.142883,51384
2023-05-22,698.950012,707.500000,687.700012,703.500000,700.549072,47090
2023-05-23,709.000000,712.150024,702.500000,703.549988,700.598816,102787
2023-05-24,696.049988,706.650024,694.650024,695.750000,692.831543,39777
2023-05-25,695.750000,698.349976,690.000000,696.900024,693.976746,21085
2023-05-26,699.950012,705.400024,694.500000,701.549988,698.607239,40167
2023-05-29,null,null,null,null,null,null
2023-05-30,697.549988,717.849976,697.549988,704.700012,701.744019,71269
2023-05-31,704.650024,704.650024,691.549988,696.500000,693.578430,70937
2023-06-01,697.150024,700.700012,691.500000,693.500000,690.591003,242742
2023-06-02,695.049988,709.000000,695.049988,706.500000,703.536438,178785
2023-06-05,707.049988,714.349976,703.000000,711.950012,708.963623,151432
2023-06-06,717.849976,717.849976,708.849976,712.250000,709.262329,76676
2023-06-07,713.049988,732.349976,713.049988,729.750000,726.688965,51975
2023-06-08,729.000000,764.000000,729.000000,748.750000,745.609253,382369
2023-06-09,750.049988,756.750000,742.000000,748.299988,745.161133,75194
2023-06-12,755.900024,755.900024,744.650024,746.849976,743.717163,49507
2023-06-13,755.000000,762.500000,751.349976,757.000000,753.824646,76831
2023-06-14,760.049988,778.950012,759.150024,772.750000,769.508545,227945
2023-06-15,773.049988,778.000000,768.799988,770.599976,767.367554,168692
2023-06-16,775.000000,781.799988,772.500000,776.250000,772.993896,191086
2023-06-19,778.049988,781.700012,767.799988,771.549988,768.313599,73879
2023-06-20,771.549988,786.400024,769.049988,772.799988,769.558350,156461
2023-06-21,772.799988,772.799988,752.200012,758.549988,755.368103,234622
2023-06-22,750.049988,763.000000,745.900024,752.049988,748.895386,33050
2023-06-23,745.049988,758.500000,744.349976,746.150024,743.020142,86329
2023-06-26,751.349976,751.349976,737.099976,748.400024,745.260742,24463
2023-06-27,748.150024,764.849976,748.150024,762.150024,758.953064,91724
2023-06-28,762.599976,791.000000,762.000000,783.750000,780.462402,244477
2023-06-30,785.049988,788.900024,779.650024,784.750000,781.458252,175428
2023-07-03,null,null,null,null,null,null
2023-07-04,null,null,null,null,null,null
2023-07-05,null,null,null,null,null,null
2023-07-06,null,null,null,null,null,null
2023-07-07,795.549988,801.849976,784.400024,788.750000,785.441467,161547
2023-07-10,787.049988,813.799988,787.049988,810.549988,807.149963,367411
2023-07-11,null,null,null,null,null,null
2023-07-12,null,null,null,null,null,null
2023-07-13,null,null,null,null,null,null
2023-07-14,808.000000,808.000000,792.349976,804.700012,804.700012,112816
2023-07-17,804.349976,812.000000,796.200012,797.299988,797.299988,119570
2023-07-18,null,null,null,null,null,null
2023-07-19,792.049988,797.500000,789.500000,791.799988,791.799988,115535
2023-07-20,790.150024,801.500000,786.000000,799.099976,799.099976,135583
2023-07-21,795.049988,823.349976,782.299988,786.049988,786.049988,348388
2023-07-24,786.500000,789.099976,773.500000,775.200012,775.200012,101540
2023-07-25,null,null,null,null,null,null
2023-07-26,805.150024,808.799988,800.000000,805.750000,805.750000,137512
2023-07-27,null,null,null,null,null,null
2023-07-28,795.000000,805.750000,786.049988,804.049988,804.049988,113977
2023-07-31,null,null,null,null,null,null
2023-08-01,null,null,null,null,null,null
2023-08-02,null,null,null,null,null,null
2023-08-03,799.099976,808.599976,794.250000,804.349976,804.349976,43660
2023-08-04,814.849976,814.849976,803.900024,805.650024,805.650024,44226
2023-08-07,807.000000,816.150024,804.450012,812.849976,812.849976,31541
2023-08-08,818.349976,818.349976,799.349976,800.799988,800.799988,27644
2023-08-09,808.849976,829.000000,802.000000,822.250000,822.250000,46984
2023-08-10,824.049988,835.000000,820.000000,831.950012,831.950012,99235
2023-08-11,830.000000,830.099976,815.650024,820.150024,820.150024,60713
2023-08-14,819.000000,819.000000,793.400024,799.900024,799.900024,56045
