Date,Open,High,Low,Close,Adj Close,Volume
2023-05-15,523.849976,537.150024,521.500000,530.849976,529.200623,38270067
2023-05-16,533.950012,535.950012,518.849976,521.150024,519.530823,16514882
2023-05-17,522.500000,523.950012,512.500000,515.500000,513.898315,13684847
2023-05-18,518.799988,520.900024,507.100006,508.450012,506.870239,12293322
2023-05-19,509.799988,526.400024,504.750000,524.950012,523.318970,19343560
2023-05-22,524.950012,527.000000,519.349976,522.500000,520.876587,9978339
2023-05-23,522.500000,531.000000,521.150024,528.500000,526.857971,12256902
2023-05-24,527.150024,529.650024,519.150024,520.200012,518.583740,7648284
2023-05-25,518.000000,518.000000,509.100006,514.849976,513.250305,11543712
2023-05-26,514.900024,519.750000,512.200012,518.450012,516.839172,8360570
2023-05-29,525.000000,525.099976,519.700012,521.450012,519.829834,6596504
2023-05-30,521.450012,523.500000,518.000000,518.799988,517.188049,5134688
2023-05-31,519.950012,527.500000,516.400024,526.299988,524.664795,12327284
2023-06-01,527.500000,536.250000,522.849976,535.200012,533.537109,12511265
2023-06-02,537.000000,541.250000,532.750000,535.900024,534.234985,12294728
2023-06-05,539.000000,548.799988,537.900024,546.250000,544.552795,15008325
2023-06-06,549.450012,557.000000,545.349976,555.750000,554.023254,15395092
2023-06-07,558.799988,575.000000,552.150024,567.950012,566.185364,20855239
2023-06-08,570.000000,576.549988,557.000000,559.700012,557.960999,21527339
2023-06-09,564.400024,566.450012,559.299988,562.299988,560.552917,9361533
2023-06-12,567.000000,568.900024,560.650024,564.150024,562.397217,7599572
2023-06-13,567.700012,571.049988,560.750000,562.200012,560.453247,12845897
2023-06-14,566.000000,571.200012,564.000000,570.299988,568.528076,12713256
2023-06-15,571.799988,575.000000,567.750000,568.450012,566.683838,12475759
2023-06-16,569.650024,572.200012,566.049988,569.799988,568.029602,8736313
2023-06-19,570.650024,573.200012,564.200012,566.049988,564.291260,6280388
2023-06-20,566.049988,583.950012,562.500000,583.250000,581.437805,18074902
2023-06-21,584.950012,585.900024,574.500000,581.400024,579.593628,9146332
2023-06-22,584.000000,584.700012,568.200012,569.349976,567.580994,11229179
2023-06-23,570.000000,571.150024,557.700012,559.650024,557.911194,9362695
2023-06-26,560.000000,569.000000,557.799988,567.849976,566.085632,6986621
2023-06-27,570.000000,576.900024,568.450012,573.099976,571.319336,9404450
2023-06-28,579.000000,590.000000,575.500000,586.650024,584.827271,16720940
2023-06-30,588.349976,599.000000,588.000000,595.549988,593.699585,12488047
2023-07-03,600.000000,602.299988,590.000000,590.799988,588.964355,11131048
2023-07-04,594.400024,596.400024,589.500000,591.450012,589.612366,6917886
2023-07-05,592.000000,593.000000,584.950012,588.250000,586.422302,8715919
2023-07-06,590.799988,604.950012,588.549988,600.799988,598.933289,14356681
2023-07-07,600.000000,624.799988,592.200012,618.200012,616.279236,21066726
2023-07-10,624.000000,634.799988,617.549988,618.650024,616.727844,23802524
2023-07-11,624.950012,630.450012,622.150024,628.500000,626.547241,12051173
2023-07-12,629.950012,630.799988,619.349976,621.450012,619.519165,10785502
2023-07-13,625.000000,626.500000,615.500000,620.650024,618.721680,9689708
2023-07-14,623.000000,626.000000,619.500000,624.900024,622.958435,7010179
2023-07-17,626.900024,627.000000,617.150024,618.500000,616.578308,7580645
2023-07-18,620.400024,620.849976,607.000000,612.099976,610.198181,10359400
2023-07-19,614.000000,625.299988,610.150024,620.599976,618.671753,11128348
2023-07-20,622.650024,623.599976,616.200012,621.650024,619.718567,7834891
2023-07-21,621.000000,631.000000,617.700012,625.750000,623.805786,12914610
2023-07-24,627.950012,634.450012,626.250000,629.250000,627.294922,12247844
2023-07-25,636.000000,642.500000,633.349976,639.450012,637.463257,13988137
2023-07-26,640.000000,665.400024,639.000000,641.099976,639.108093,31673714
